input,output
چه کاری در بدن انجام می‌دهد؟,در بافت‌های چربی بدن، تری‌گلیسرید نقش عایق‌بندی و ذخیرهٔ انرژی را دارد
منظور از عایق‌بندی چیست؟,غیرقابل‌پاسخ
این مواد در کدام غذاها یافت می‌شوند؟,غیرقابل‌پاسخ
آیا در خون هم وجود دارد؟,در خون وجود دارند
در آنجا چه کاری انجام می‌دهد؟,امکان انتقال دو طرفهٔ چربی-چربی و گلوکز خون از کبد را فراهم کنند
بالا بودن این ماده در بدن مشکل‌زاست؟,هنوز میزان تأثیر تری‌گلیسرید بالا در ضخیم شدن دیوارهٔ عروق قلبی که باعث بالا رفتن خطر سکته مغزی و قلبی و بیماری‌های قلبی-عروقی مشخص نیست
در چه دوزی؟,غیرقابل‌پاسخ
تری‌گلیسیرید غذا چگونه جذب بدن می‌شود؟,جذب تری‌گلیسریدهای غذا در روده و پس از اثر آنزیم لیپاز و تجزیه آن‌ها به مونوگلیسرید صورت می‌گیرد. سپس در سلول‌های روده مجددا تری‌گلیسرید تشکیل و از طریق کیلومیکرون‌ها و دستگاه لنفاوی وارد گردش خون وریدی می‌شود. محل اصلی متابولیسم تری‌گلیسرید در بدن، سلول‌های کبد و سلول‌های چربی است
این‌ها انرژی زیادی در بدن تولید می‌کنند؟,انرژی تولیدشده از یک گرم تری‌گلیسرید برابر با حدود دو برابر انرژی تولیدشده از یک گرم کربوهیدرات است
اندازه آبدزدک‌ها چقدر است؟,طولش ۴ تا ۵ سانتی‌متر است و گاه به ۱۰ سانتی‌متر هم می‌رسد
دیگر ویژگی‌های ظاهری آن‌ها چگونه است؟,آبدزدک حشره‌ای است قهوه‌ای‌رنگ که طولش ۴ تا ۵ سانتی‌متر است و گاه به ۱۰ سانتی‌متر هم می‌رسد، با پیش‌سینهٔ بزرگ و ضخیم، پاهای جلوی قوی، بال‌های جلوی کوتاه که روی سینه و بخشی از شکم را می‌پوشاند
چرا به آن‌ها آبدزدک اطلاق می‌شود؟,آبدزدک با دالان‌هایی که در زمین‌های شخم‌خورده، نرم و به‌خصوص شالیزارها حفر می‌کند، موجب سوراخ کردن مرز کرت‌ها و فرار آب از کرت‌ها می‌شود و به همین دلیل این آفت را آبدزدک نامیده‌اند
چه می‌خورند؟,ریشهٔ گیاهان
غذای چه جانورانی می‌شوند؟,غیرقابل‌پاسخ
آیا این حشره خطرناک است؟,پاهای آب دزدک زهر آلود است و ایجاد عفونت پوستی میکند. دارای نیش است و ایجاد گزش دردناک می‌کند
آفت هم محسوب می‌شوند؟,آبدزدک از آفات بسیار مهم گیاهان زراعی، صیفی‌ها، سبزی‌ها و گیاهان زینتی است
چگونه می‌توان آن را ریشه‌کن کرد؟,برای مبارزه با این آفت بهتر است روش‌های شیمیایی در کنار روش‌های زیستی به کار روند. شخم‌زدن به جهت از بین بردن تخم‌های آفات که در لانه‌ها گذاشته شده‌است. غرقاب کردن زمین به این جهت که پوره‌ها مجبور به ترک لانه‌های خود شده و سپس آنها را گردآوری و از بین می‌برند. در این روش از فرمالین ۵٪ استفاده می‌شود به این صورت که آن‌ها را در ظرف‌های ریخته و در داخل گودال‌هایی به اندازهٔ ظرف قرار می‌دهند پس از یک شبانه روز آبدزدک به تله می‌افتد. در روش‌های شیمیایی باید توجه کرد که باید ابتدا از طریق آبیاری غرقابی آبدزدک را مجبور به ترک لانهٔ خود کرده و سپس با یک سم آفت‌کش آن‌ها را از بین برد
آیا زاد و ولدشان زیاد است؟,آبدزدک هر دو سال یک نسل تولید می‌کند
ماده هر دفعه چند تخم می‌گذارد؟,۳۰۰ تا ۶۰۰ تخم
تقریبا چند درصد تخم‌ها موفق می‌شوند؟,غیرقابل‌پاسخ
این حشرات در کجا یافت می‌شوند؟,مناطق انتشار این آفت در سرتاسر اروپا به جز نروژ و فنلاند، در آسیای غربی، شمال آفریقا، فلسطین، سوریه، لبنان، قبرس، روسیه، افغانستان، پاکستان، ترکیه و ایران است
جز کدام دسته از حشرات هستند؟,یک تیره از راسته راست‌بالان
راست‌بالان را بیشتر توضیح دهید؟,غیرقابل‌پاسخ
معتبرترین لیگ رقابتی فوتبالی جهان کدام است؟,لیگ قهرمانان اروپا با نام رسمی لیگ قهرمانان یوفا (به انگلیسی: UEFA Champions League) که معمولا با نام یوسی‌ال (UCL)
آیا نام آن تغییر یافته است؟,در گذشته با نام جام باشگاه‌های اروپا شناخته می‌شد
توسط چه نهادی تاسیس شده؟,یوفا
آیا این لیگ، سرود مخصوصی دارد؟,سرود رسمی لیگ قهرمانان که در همهٔ بازی‌های لیگ قهرمانان نواخته می‌شود و به بخش جدانشدنی از این مسابقات مبدل گردیده
خالق آن کیست؟,از آثار جرج فردریک هندل (موسیقی‌دان قرن هجدهم)
و به چه زبانی است؟,در این سرود از سه زبان آلمانی، فرانسوی و انگلیسی استفاده شده‌است
اولین مسابقه تاریخ این لیگ بین چه تیم هایی بوده؟,دو تیم اسپورتینگ (پرتغال) و پارتیزان (یوگسلاوی سابق)
در چه سالی؟,سال ۱۹۵۵
و کدام تیم قهرمان آن دوره شد؟,اولین قهرمان این رقابت‌ها رئال مادرید است
پرافتخارترین تیم UCL، کدام است؟,غیرقابل‌پاسخ
و برترین گلزن آن؟,غیرقابل‌پاسخ
روند مسابقات چطور است؟,این مسابقات از دو دور (دور مقدماتی (گروهی) و دور حذفی) تشکیل شده‌ و در قالب ۸ گروه ۴ تیمی برگزار می‌شود. از هر گروه ۲ تیم به دور حذفی راه پیدا کرده و تیم‌های سوم هر گروه به مرحله حذفی رقابت‌های لیگ اروپا (جام یوفا پیشین) اضافه می‌شوند
فینال مسابقات در کجا برگزار می شود؟,میزبانان فینال نیز از طرف یوفا انتخاب می‌شوند
جایزه قهرمان این لیگ، چیست؟,غیرقابل‌پاسخ
شرایط عضویت نماینده پارلمان چیست؟,تقریبا هر رأی‌دهنده‌ای که نام‌نویسی کرده باشد می‌تواند خود را به عنوان نامزد پارلمان مطرح سازد به شرط آن که بتواند برگهٔ نامزدی خود را به امضای ده رأی‌دهندهٔ دیگر از حوزهٔ انتخابیه‌ای که می‌خواهد از آنجا نماینده شود برساند. همچنین لازم است ۵۰۰ پوند سپرده در اختیار برگزارکنندگان انتخابات بگذارد
آیا رای دهندگان نیز شرایط خاصی دارند؟,غیرقابل‌پاسخ
هر نماینده چند سال می تواند عضو پارلمان باشد؟,غیرقابل‌پاسخ
آیا شرایط انتخاب نامزدها در همه احزاب یکسان است؟,گزینش نامزدها از سوی احزاب سیاسی وظیفهٔ اعضای آن‌ها است و هر حزب روند ویژه‌ای برای این کار دارد
در حزب محافظه کار چگونه است؟,انجمن‌های حوزه‌های انتخابیه، گزینش نامزدها را به عهده دارند (با این حال برخی انجمن‌ها اقدام به برگزاری انتخابات مقدماتی پارلمانی برای گزینش نامزد کرده‌اند). انجمن‌ها باید نامزدها را بر اساس قواعدی که توسط کمیته نامزدهای هیأت امنای حزب محافظه‌کار تعیین شده گزینش کنند
